[INFO] [1784656202.188439, 0.652000]: HR_HAA: 0.4286084473133087
[INFO] [1784656202.194309, 0.652000]: HR_HFE: -1.1540167921543123
[INFO] [1784656202.205117, 0.652000]: HR_KFE: 3.062473059654236
[INFO] [1784656202.209065, 0.652000]: HR_AFE: -3.436557187461853
[INFO] [1784656202.219220, 0.652000]: FL_HAA: 0.05518021062016487
[INFO] [1784656202.225026, 0.652000]: FL_HFE: 0.9957028033256531
[INFO] [1784656202.233190, 0.652000]: FL_KFE: -2.136678985691071
[INFO] [1784656202.240033, 0.652000]: FR_HAA: 0.3342815637588501
[INFO] [1784656202.247080, 0.652000]: FR_HFE: 1.0869746806144716
[INFO] [1784656202.252538, 0.652000]: FR_KFE: -2.307832709884644
[INFO] [1784656202.254725, 0.652000]: HL_HAA: -0.14538335800170898
[INFO] [1784656202.262062, 0.652000]: HL_HFE: -0.9837579422950745
[INFO] [1784656202.267990, 0.652000]: HL_KFE: 2.98978710269928
[INFO] [1784656202.271113, 0.652000]: HL_AFE: -3.2081568378448484
[INFO] [1784656202.281167, 0.652000]: HR_HAA: 0.43003228306770325
[INFO] [1784656202.289095, 0.652000]: HR_HFE: -1.1611495905876161
[INFO] [1784656202.293302, 0.652000]: HR_KFE: 3.0848016748428346
[INFO] [1784656202.301802, 0.652000]: HR_AFE: -3.4661725896835325
[INFO] [1784656202.615502, 0.662000]: FL_HAA: 0.048267219215631485
[INFO] [1784656202.619669, 0.667000]: FL_HFE: 1.0144881011962892
[INFO] [1784656202.621642, 0.669000]: FL_KFE: -2.155526630020142
[INFO] [1784656202.629267, 0.673000]: FR_HAA: 0.33898061513900757
[INFO] [1784656202.634895, 0.678000]: FR_HFE: 1.0999825598716737
[INFO] [1784656202.637531, 0.681000]: FR_KFE: -2.324247948265076
[INFO] [1784656202.644356, 0.684000]: HL_HAA: -0.15098968148231506
[INFO] [1784656202.650977, 0.691000]: HL_HFE: -0.9818138175964356
[INFO] [1784656202.654421, 0.695000]: HL_KFE: 3.008603931427002
[INFO] [1784656202.657261, 0.697000]: HL_AFE: -3.2351614374160764
[INFO] [1784656202.668033, 0.703000]: HR_HAA: 0.4315372109413147
[INFO] [1784656202.671976, 0.708000]: HR_HFE: -1.1672320061683656
[INFO] [1784656202.680536, 0.711000]: HR_KFE: 3.106397152900696
[INFO] [1784656202.688375, 0.721000]: HR_AFE: -3.494067682647705
[INFO] [1784656202.693744, 0.725000]: FL_HAA: 0.03238873928785324
[INFO] [1784656202.704738, 0.731000]: FL_HFE: 1.0647229554176332
[INFO] [1784656202.711342, 0.736000]: FL_KFE: -2.209104589557648
[INFO] [1784656202.721438, 0.739000]: FR_HAA: 0.3451801538467407
[INFO] [1784656202.729820, 0.747000]: FR_HFE: 1.1278961302757264
[INFO] [1784656202.739290, 0.747000]: FR_KFE: -2.3729190746307376
[INFO] [1784656202.747703, 0.747000]: HL_HAA: -0.1682327389717102
[INFO] [1784656202.753399, 0.747000]: HL_HFE: -0.9790526920318604
[INFO] [1784656202.758108, 0.747000]: HL_KFE: 3.063346625328064
[INFO] [1784656202.763875, 0.747000]: HL_AFE: -3.312571896934509
[INFO] [1784656202.769789, 0.747000]: HR_HAA: 0.43102526664733887
[INFO] [1784656202.776685, 0.747000]: HR_HFE: -1.1886959367752077
[INFO] [1784656202.781917, 0.747000]: HR_KFE: 3.16475629901886
